Timestamp,Open,High,Low,Close,Volume (BTC),Volume (Currency),Weighted Price
2018-07-20 13:00,7494,7506.96,7437.47,7465.04,245.64,1833699.6,7464.93
2018-07-20 14:00,7465.33,7478.73,7440.09,7466.15,135.4,1010243.63,7461.28
2018-07-20 15:00,7466.15,7497.58,7431.1,7475.51,318.68,2380183.59,7468.89
2018-07-20 16:00,7475.51,7517.84,7447.21,7471.67,290.96,2174703.55,7474.2
2018-07-20 17:00,7471.46,7696.88,7463.39,7463.39,1510,11439228.05,7575.65
2018-07-20 18:00,7461,7492.15,7290.01,7330.39,1046.06,7723792.29,7383.73
2018-07-20 19:00,7332.45,7388,7265,7357.98,479.71,3516136.44,7329.73
2018-07-20 20:00,7354.54,7380.99,7290,7344.97,289.33,2122913.02,7337.45
2018-07-20 21:00,7344.99,7375,7321.77,7349.99,147.05,1080813.42,7350.09
2018-07-20 22:00,7350.28,7370.77,7284.48,7300.22,130.47,957538.97,7339.12
2018-07-20 23:00,7300.22,7372.2,7276.43,7359.41,221.74,1624157.14,7324.48
2018-07-21 00:00,7359.41,7359.41,7305.51,7330.84,435.78,3191418.87,7323.42
2018-07-21 01:00,7330.84,7330.84,7212,7237.33,870.94,6330338.54,7268.42
2018-07-21 02:00,7237.52,7272.82,7222.04,7260.82,148.68,1077986.74,7250.47
2018-07-21 03:00,7260.81,7301.55,7255.36,7276.99,232.07,1691227.04,7287.44
2018-07-21 04:00,7276.99,7292.98,7256.7,7276.7,99.61,724964.94,7278.19
2018-07-21 05:00,7276.7,7301.71,7252.01,7301.65,66.48,483680.98,7275.55
2018-07-21 06:00,7301.74,7334.74,7286.9,7322.46,150.87,1102500.41,7307.69
2018-07-21 07:00,7328.24,7352.42,7305.07,7343.78,202.44,1483369.93,7327.33
2018-07-21 08:00,7343.27,7344.99,7311.6,7322.97,199.19,1459975.45,7329.4
2018-07-21 09:00,7321.09,7328.12,7297.74,7312.98,90.87,664644.84,7314.14
2018-07-21 10:00,7312.99,7339.49,7307.06,7323.96,70.72,518060.6,7326.03
2018-07-21 11:00,7320.01,7333.74,7281.42,7286.96,358.36,2614648.61,7296.16
2018-07-21 12:00,7286.95,7321.05,7281.55,7313.47,126.68,923983.24,7293.84
